urls,questions
http://www.homes.com/answers/page-2/,"[[""[u'Why are all homes in my small town listed for 3-4 times the market value"", "" No one can buy in their home town, and no one can get a loan!', u'Report', u'unfinished basement value"", '\', u\'Report\', u""I\'m looking for a house for rent in Maricopa az with a pool"", u\'Report\', u\'something is wrong with your site\', u\'Report\', u""Hi I\'m in a very tight and stressful deadline to find a section 8 3 bed 2bAth with my voucher this is my first time as a single mother to rent help."", u\'Report\', u\'YOUR ESTIMATED VALUE IS UNCORRECT.  PLEASE UPDATE YOUR RECORDS!\', u\'Report\', u\'Need help finding a house to rent in the Elk Grove, Ca. area before 2/1/15. 4br, 2ba, for $1,500-1,800/mo. With small backyard lawn and accepts cat.\', u\'Report\', u\'Looking to rent an apartment in the Sacramento area.\', u\'Report\', u\'Can a buyer use multiple agents simultaneously to look for / submit offers on properties', ""', u'Report', u'How often are listings updated"", "" I have found 2 properties today that on other sites are not listed as for sale.', u'Report', u'looking for a 3 bedroom 2 bath with a pool and fenced in yard that accepts dogs. i have a small/med sized dog .', u'Report', u'What does rent to own mean"", ""', u'Report', u'How much house can I afford with a income of $45,000 with monthly debt of $400', u'Report', u'Looking for a 3 bedroom/2 bathroom home in the Stafford area. Any suggestions"", ""', u'Report', u'How do I post my home to rent, I have a singlr family home avaiable in July.\\nThanks, Brian', u'Report', u'How important is a pre-qualification letter in placing offers on homes"", ""', u'Report', u'How can I search rent to own listings without giving credit card number and personal information before I even see the listings"", ""', u'Report', u'Is this not supposed to be a site where people can find homes for sale"", '', '', '', '', '', '\', u\'Report\', u\'Can you get a decent mortgage rate with a 625 credit score. Everything seems to be good with credit just high revolving credit. history info not updtd\', u\'Report\', u""I\'m looking for something to rent, income based w/util incl.pet friendly under 400. / mo.I\'m on disb. with very lmt income. Credit score  under 600"", u\'Report\']']]"
http://www.homes.com/answers/page-822/,"[['[u""The location by google maps isn\'t correct for my house, over 3 miles away.  You have us on South 22nd Ave and we are South 22nd Circle in Tregaron"", u\'Report\', u\'Thanks for the responses about the older style homes in Austin. Can you tell me what counties the neighborhoods are in', ' Which has the best schools', ""', u'Report', u'Is there an area in Austin that allows pier and beam (victorian or country style)homes, and is still a well maintained area"", ""', u'Report', u'we are looking to lease for 6-9 months, as we are preparing to build in the spring; we would need a place by October 1, 2012;\\nemail me please.', u'Report', u'Where do I look to find a Rent to Own home in Union City, PA"", ""', u'Report', u'I signed up for the trial to view foreclosure properties. My card has been charged but I have not bee given access', u'Report', u'where do i find my saved listings"", '\', u\'Report\', u""I\'m not in the real estate business, but I\'d like to list my home for rent on this site.  How do I go about doing that', '\\n\\nCarl"", u\'Report\', u\'My Listing does not have Photos! How do I add PHOTOS FOR 231 RUMFORD CT, NEWTWN, PA', ""', u'Report', u'Do I have to go through wells fargo for approval"", ""', u'Report', u'How do I see the status of the homes listed on your site"", ""', u'Report', u'are there any houses for rent in elkton va that accept section 8 vouchers"", ""', u'Report', u'My question is, do you work with people who do not have A1 credit, but their renters history is excellent, no late payments, no evictions"", ""', u'Report', u'Bad divorce had to file bankruptcy to keep home(ex failed to pay a lot of things)--it is released--how can I purchase a home that I can afford"", "".', u'Report', u'been watching 1123 valencia ave,holly hill fl 32117.Now I see every other site says ', u'Report']""]]"
http://www.homes.com/answers/page-5/,"[[""[u'What are the benefits to paying off a mortgage early"", ""', u'Report', u'how do I see emails sent to me at STLHomes@barbwoodham.com"", '\', u\'Report\', u""I\'m looking for a broker in the New England area that can list a motel with ocean view. For more info please feel free to contact me."", u\'Report\', u""I\'m looking for a broker in the New England area that can list a motel with ocean view. For more info please feel free to contact me."", u\'Report\', u""How can I get a nice house that\'s in a safe neighborhood when all the houses I can afford for my kids and myself are very expensive in Montgomery, Al', '"", u\'Report\', u\'How do I list my home for rent on you website\', u\'Report\', u\'My house shows the wrong square footage.\', u\'Report\', u""Would a loan officer know if you are married if you say you weren\'t', '"", u\'Report\', u\'I am interested in information on the house for 193,000. It is in our neighborhood. Who do I contact about it', ""', u'Report', u'what happens to the second loan carried on a home that is in pre foreclousures on a home"", ""', u'Report', u'Should I buy a townhouse I can easily afford, or buy a singe family home with plans to stay long term.', u'Report', u'Hello,\\nI ran across a foreclosure deal that seems too good to be true. Please check\\nhttp://www.homes.com/property/stone-mountain-ga-30083/id-241973642', u'Report', u'I am interested in renting a home that allows dogs.  I have two small Yorkies that are house trained.  I am only interested in homes that allow dogs.', u'Report', u'Is this the real prices for the foreclosure homes"", ""', u'Report', u'Is this a legit web site"", '  is this foreclosuer prices are real', ""', u'Report', u'DO you know anyone with house that accepts section 8', u'Report', u'I am trying to find out the status of a home that was foreclosed and now is off market in Danielsville Ga.  How can I find out who has it now.', u'Report', u'Does any of the rentals have a option to buy"", ""', u'Report', u'Me and a family member bought a house with both names on the title but their name on the loan only, now we want to refinance with my name on loan how"", ""', u'Report', u'Is there anyone out here who looks more at income versus credit for rental properties in Plainfield or Napervile.  I have the income.!!', u'Report']""]]"
http://www.homes.com/answers/page-4/,"[['[u\'ARE YOUR BUYERS AND RENTERS AWARE OF ALL THE CONVICTED SEX OFFENDERS LOCATED AT \\nPARKWAY LANE CONDOS\\n4748 OLD BENT TREE LANE\\nDALLAS, TX 75287\', u\'Report\', u""Hello, I\'m looking to Invest (buy and rent) properties in New Jersey. Does anyone have a suggestion on town or city', ' Currently looking at Bloomfield."", u\'Report\', u\'Buying a house with middle of the road income\', u\'Report\', u\'How do you login as a real estate agent to complete your profile.\', u\'Report\', u\'Where are the answers to questions', ""', u'Report', u'Hi,\\nCan You please tell me is there any way to get widget that You are currently using on home page:\\nFind Your home widget http://www.homes.com/  "", ""', u'Report', u'How can I to list a house in homes.com"", ""', u'Report', u'If I am planning on moving to the Ballston, VA area in June, when would be a good time to start looking for a rental"", ""', u'Report', u'Must I pay for an appraisal on a deal that fell through if I had not even signed the loan app"", ""', u'Report', u'I want to sell my home.  How do I place an ad with you"", ""', u'Report', u'can I really own a house for $1075.  or $800  need home for family asap only make 20,000 a year  credit score only 618 do to prior foreclosure.', u'Report', u'My wife and I wish to purchase property with my son and his wife with the intention of \\nliving in same house. Should we be looking at a trust"", ""', u'Report', u'you list my home information is wrong, who should I contact to"", ""', u'Report', u'How do I find info about the home on this site in 67230 listed for 193000"", ""', u'Report', u'Do you REALLY 100% ONLY have to pay say $2,500(as I seen on one home) 3Bed 2 bath for a forclosed home"", '', "" Sorry new to all this and would like to know', u'Report', u'Is it possible to find a one story, 2bdrm, 2bath, condominium near Blacksburg Transit and have a fireplace or view on a wish list"", ""', u'Report', u'how much additional rent would you charge for a short term rental of a house.\\ni need a house for 4-5 months while our home is being remodeled.\\nThx\\nMar', u'Report', u'Can I sell my house if it has a rat problem"", ' If so how much would it lower the price of a 99,000 house in Louisiana', ""', u'Report', u'Does the $100 downpayment go on line 4 of the sales contract for HUD REO"", '  Will the sales contract have to be resubmitted with $100 on line 4', ""', u'Report', u'what if info on my home is incorrect"", ""', u'Report']""]]"
urls,questions
http://www.homes.com/answers/page-2/,"[u'Why are all homes in my small town listed for 3-4 times the market value? No one can buy in their home town, and no one can get a loan!', u'Report', u'unfinished basement value?', u'Report', u""I'm looking for a house for rent in Maricopa az with a pool"", u'Report', u'something is wrong with your site', u'Report', u""Hi I'm in a very tight and stressful deadline to find a section 8 3 bed 2bAth with my voucher this is my first time as a single mother to rent help."", u'Report', u'YOUR ESTIMATED VALUE IS UNCORRECT.  PLEASE UPDATE YOUR RECORDS!', u'Report', u'Need help finding a house to rent in the Elk Grove, Ca. area before 2/1/15. 4br, 2ba, for $1,500-1,800/mo. With small backyard lawn and accepts cat.', u'Report', u'Looking to rent an apartment in the Sacramento area.', u'Report', u'Can a buyer use multiple agents simultaneously to look for / submit offers on properties?', u'Report', u'How often are listings updated? I have found 2 properties today that on other sites are not listed as for sale.', u'Report', u'looking for a 3 bedroom 2 bath with a pool and fenced in yard that accepts dogs. i have a small/med sized dog .', u'Report', u'What does rent to own mean?', u'Report', u'How much house can I afford with a income of $45,000 with monthly debt of $400', u'Report', u'Looking for a 3 bedroom/2 bathroom home in the Stafford area. Any suggestions?', u'Report', u'How do I post my home to rent, I have a singlr family home avaiable in July.\nThanks, Brian', u'Report', u'How important is a pre-qualification letter in placing offers on homes?', u'Report', u'How can I search rent to own listings without giving credit card number and personal information before I even see the listings?', u'Report', u'Is this not supposed to be a site where people can find homes for sale??????', u'Report', u'Can you get a decent mortgage rate with a 625 credit score. Everything seems to be good with credit just high revolving credit. history info not updtd', u'Report', u""I'm looking for something to rent, income based w/util incl.pet friendly under 400. / mo.I'm on disb. with very lmt income. Credit score  under 600"", u'Report']"
http://www.homes.com/answers/page-822/,"[u""The location by google maps isn't correct for my house, over 3 miles away.  You have us on South 22nd Ave and we are South 22nd Circle in Tregaron"", u'Report', u'Thanks for the responses about the older style homes in Austin. Can you tell me what counties the neighborhoods are in? Which has the best schools?', u'Report', u'Is there an area in Austin that allows pier and beam (victorian or country style)homes, and is still a well maintained area?', u'Report', u'we are looking to lease for 6-9 months, as we are preparing to build in the spring; we would need a place by October 1, 2012;\nemail me please.', u'Report', u'Where do I look to find a Rent to Own home in Union City, PA?', u'Report', u'I signed up for the trial to view foreclosure properties. My card has been charged but I have not bee given access', u'Report', u'where do i find my saved listings?', u'Report', u""I'm not in the real estate business, but I'd like to list my home for rent on this site.  How do I go about doing that?\n\nCarl"", u'Report', u'My Listing does not have Photos! How do I add PHOTOS FOR 231 RUMFORD CT, NEWTWN, PA?', u'Report', u'Do I have to go through wells fargo for approval?', u'Report', u'How do I see the status of the homes listed on your site?', u'Report', u'are there any houses for rent in elkton va that accept section 8 vouchers?', u'Report', u'My question is, do you work with people who do not have A1 credit, but their renters history is excellent, no late payments, no evictions?', u'Report', u'Bad divorce had to file bankruptcy to keep home(ex failed to pay a lot of things)--it is released--how can I purchase a home that I can afford?.', u'Report', u'been watching 1123 valencia ave,holly hill fl 32117.Now I see every other site says ', u'Report']"
http://www.homes.com/answers/page-5/,"[u'What are the benefits to paying off a mortgage early?', u'Report', u'how do I see emails sent to me at STLHomes@barbwoodham.com?', u'Report', u""I'm looking for a broker in the New England area that can list a motel with ocean view. For more info please feel free to contact me."", u'Report', u""I'm looking for a broker in the New England area that can list a motel with ocean view. For more info please feel free to contact me."", u'Report', u""How can I get a nice house that's in a safe neighborhood when all the houses I can afford for my kids and myself are very expensive in Montgomery, Al?"", u'Report', u'How do I list my home for rent on you website', u'Report', u'My house shows the wrong square footage.', u'Report', u""Would a loan officer know if you are married if you say you weren't?"", u'Report', u'I am interested in information on the house for 193,000. It is in our neighborhood. Who do I contact about it?', u'Report', u'what happens to the second loan carried on a home that is in pre foreclousures on a home?', u'Report', u'Should I buy a townhouse I can easily afford, or buy a singe family home with plans to stay long term.', u'Report', u'Hello,\nI ran across a foreclosure deal that seems too good to be true. Please check\nhttp://www.homes.com/property/stone-mountain-ga-30083/id-241973642', u'Report', u'I am interested in renting a home that allows dogs.  I have two small Yorkies that are house trained.  I am only interested in homes that allow dogs.', u'Report', u'Is this the real prices for the foreclosure homes?', u'Report', u'Is this a legit web site?  is this foreclosuer prices are real?', u'Report', u'DO you know anyone with house that accepts section 8', u'Report', u'I am trying to find out the status of a home that was foreclosed and now is off market in Danielsville Ga.  How can I find out who has it now.', u'Report', u'Does any of the rentals have a option to buy?', u'Report', u'Me and a family member bought a house with both names on the title but their name on the loan only, now we want to refinance with my name on loan how?', u'Report', u'Is there anyone out here who looks more at income versus credit for rental properties in Plainfield or Napervile.  I have the income.!!', u'Report']"
urls,questions
http://www.homes.com/answers/page-2/,"[u'Why are all homes in my small town listed for 3-4 times the market value? No one can buy in their home town, and no one can get a loan!', u'Report', u'unfinished basement value?', u'Report', u""I'm looking for a house for rent in Maricopa az with a pool"", u'Report', u'something is wrong with your site', u'Report', u""Hi I'm in a very tight and stressful deadline to find a section 8 3 bed 2bAth with my voucher this is my first time as a single mother to rent help."", u'Report', u'YOUR ESTIMATED VALUE IS UNCORRECT.  PLEASE UPDATE YOUR RECORDS!', u'Report', u'Need help finding a house to rent in the Elk Grove, Ca. area before 2/1/15. 4br, 2ba, for $1,500-1,800/mo. With small backyard lawn and accepts cat.', u'Report', u'Looking to rent an apartment in the Sacramento area.', u'Report', u'Can a buyer use multiple agents simultaneously to look for / submit offers on properties?', u'Report', u'How often are listings updated? I have found 2 properties today that on other sites are not listed as for sale.', u'Report', u'looking for a 3 bedroom 2 bath with a pool and fenced in yard that accepts dogs. i have a small/med sized dog .', u'Report', u'What does rent to own mean?', u'Report', u'How much house can I afford with a income of $45,000 with monthly debt of $400', u'Report', u'Looking for a 3 bedroom/2 bathroom home in the Stafford area. Any suggestions?', u'Report', u'How do I post my home to rent, I have a singlr family home avaiable in July.\nThanks, Brian', u'Report', u'How important is a pre-qualification letter in placing offers on homes?', u'Report', u'How can I search rent to own listings without giving credit card number and personal information before I even see the listings?', u'Report', u'Is this not supposed to be a site where people can find homes for sale??????', u'Report', u'Can you get a decent mortgage rate with a 625 credit score. Everything seems to be good with credit just high revolving credit. history info not updtd', u'Report', u""I'm looking for something to rent, income based w/util incl.pet friendly under 400. / mo.I'm on disb. with very lmt income. Credit score  under 600"", u'Report']"
