urls,questions
http://www.homes.com/answers/page-2/,"something is wrong with your site,Report,Hi I'm in a very tight and stressful deadline to find a section 8 3 bed 2bAth with my voucher this is my first time as a single mother to rent help.,Report,YOUR ESTIMATED VALUE IS UNCORRECT.  PLEASE UPDATE YOUR RECORDS!,Report,Need help finding a house to rent in the Elk Grove, Ca. area before 2/1/15. 4br, 2ba, for $1,500-1,800/mo. With small backyard lawn and accepts cat.,Report,Looking to rent an apartment in the Sacramento area.,Report,Can a buyer use multiple agents simultaneously to look for / submit offers on properties?,Report,How often are listings updated? I have found 2 properties today that on other sites are not listed as for sale.,Report,looking for a 3 bedroom 2 bath with a pool and fenced in yard that accepts dogs. i have a small/med sized dog .,Report,What does rent to own mean?,Report,How much house can I afford with a income of $45,000 with monthly debt of $400,Report,Looking for a 3 bedroom/2 bathroom home in the Stafford area. Any suggestions?,Report,How do I post my home to rent, I have a singlr family home avaiable in July.
Thanks, Brian,Report,How important is a pre-qualification letter in placing offers on homes?,Report,How can I search rent to own listings without giving credit card number and personal information before I even see the listings?,Report,Is this not supposed to be a site where people can find homes for sale??????,Report,Can you get a decent mortgage rate with a 625 credit score. Everything seems to be good with credit just high revolving credit. history info not updtd,Report,I'm looking for something to rent, income based w/util incl.pet friendly under 400. / mo.I'm on disb. with very lmt income. Credit score  under 600,Report,My fiancé and I want a fixer up. Any suggestions? We both know we want a foreclosure.,Report,What do I need to do to become a real estate agent in Florida?,Report,Hello guys, can someone put an offer on properties which have REO status,Report"
urls,questions
http://www.homes.com/answers/page-2/,"something is wrong with your site,Report,Hi I'm in a very tight and stressful deadline to find a section 8 3 bed 2bAth with my voucher this is my first time as a single mother to rent help.,Report,YOUR ESTIMATED VALUE IS UNCORRECT.  PLEASE UPDATE YOUR RECORDS!,Report,Need help finding a house to rent in the Elk Grove, Ca. area before 2/1/15. 4br, 2ba, for $1,500-1,800/mo. With small backyard lawn and accepts cat.,Report,Looking to rent an apartment in the Sacramento area.,Report,Can a buyer use multiple agents simultaneously to look for / submit offers on properties?,Report,How often are listings updated? I have found 2 properties today that on other sites are not listed as for sale.,Report,looking for a 3 bedroom 2 bath with a pool and fenced in yard that accepts dogs. i have a small/med sized dog .,Report,What does rent to own mean?,Report,How much house can I afford with a income of $45,000 with monthly debt of $400,Report,Looking for a 3 bedroom/2 bathroom home in the Stafford area. Any suggestions?,Report,How do I post my home to rent, I have a singlr family home avaiable in July.
Thanks, Brian,Report,How important is a pre-qualification letter in placing offers on homes?,Report,How can I search rent to own listings without giving credit card number and personal information before I even see the listings?,Report,Is this not supposed to be a site where people can find homes for sale??????,Report,Can you get a decent mortgage rate with a 625 credit score. Everything seems to be good with credit just high revolving credit. history info not updtd,Report,I'm looking for something to rent, income based w/util incl.pet friendly under 400. / mo.I'm on disb. with very lmt income. Credit score  under 600,Report,My fiancé and I want a fixer up. Any suggestions? We both know we want a foreclosure.,Report,What do I need to do to become a real estate agent in Florida?,Report,Hello guys, can someone put an offer on properties which have REO status,Report"
http://www.homes.com/answers/page-822/,"Thanks for the responses about the older style homes in Austin. Can you tell me what counties the neighborhoods are in? Which has the best schools?,Report,Is there an area in Austin that allows pier and beam (victorian or country style)homes, and is still a well maintained area?,Report,we are looking to lease for 6-9 months, as we are preparing to build in the spring; we would need a place by October 1, 2012;
email me please.,Report,Where do I look to find a Rent to Own home in Union City, PA?,Report,I signed up for the trial to view foreclosure properties. My card has been charged but I have not bee given access,Report,where do i find my saved listings?,Report,I'm not in the real estate business, but I'd like to list my home for rent on this site.  How do I go about doing that?

Carl,Report,My Listing does not have Photos! How do I add PHOTOS FOR 231 RUMFORD CT, NEWTWN, PA?,Report,Do I have to go through wells fargo for approval?,Report,How do I see the status of the homes listed on your site?,Report,are there any houses for rent in elkton va that accept section 8 vouchers?,Report,My question is, do you work with people who do not have A1 credit, but their renters history is excellent, no late payments, no evictions?,Report,Bad divorce had to file bankruptcy to keep home(ex failed to pay a lot of things)--it is released--how can I purchase a home that I can afford?.,Report,been watching 1123 valencia ave,holly hill fl 32117.Now I see every other site says ,Report"
http://www.homes.com/answers/page-5/,"I'm looking for a broker in the New England area that can list a motel with ocean view. For more info please feel free to contact me.,Report,How can I get a nice house that's in a safe neighborhood when all the houses I can afford for my kids and myself are very expensive in Montgomery, Al?,Report,How do I list my home for rent on you website,Report,My house shows the wrong square footage.,Report,Would a loan officer know if you are married if you say you weren't?,Report,I am interested in information on the house for 193,000. It is in our neighborhood. Who do I contact about it?,Report,what happens to the second loan carried on a home that is in pre foreclousures on a home?,Report,Should I buy a townhouse I can easily afford, or buy a singe family home with plans to stay long term.,Report,Hello,
I ran across a foreclosure deal that seems too good to be true. Please check
http://www.homes.com/property/stone-mountain-ga-30083/id-241973642,Report,I am interested in renting a home that allows dogs.  I have two small Yorkies that are house trained.  I am only interested in homes that allow dogs.,Report,I am looking for a 4 bedroom with 2.5 baths with hardwood floors and stainless appliances ,North Columbus Georgia.$1200-$1400mth,Report,Is this the real prices for the foreclosure homes?,Report,Is this a legit web site?  is this foreclosuer prices are real?,Report,DO you know anyone with house that accepts section 8,Report,I am trying to find out the status of a home that was foreclosed and now is off market in Danielsville Ga.  How can I find out who has it now.,Report,Does any of the rentals have a option to buy?,Report,Me and a family member bought a house with both names on the title but their name on the loan only, now we want to refinance with my name on loan how?,Report,Is there anyone out here who looks more at income versus credit for rental properties in Plainfield or Napervile.  I have the income.!!,Report,I am looking for a rental home for my dad in a community with older people.,Report,how do I advertise here? thank you,Report"
http://www.homes.com/answers/page-4/,"How do you login as a real estate agent to complete your profile.,Report,Where are the answers to questions?,Report,Hi,
Can You please tell me is there any way to get widget that You are currently using on home page:
Find Your home widget http://www.homes.com/  ?,Report,How can I to list a house in homes.com?,Report,If I am planning on moving to the Ballston, VA area in June, when would be a good time to start looking for a rental?,Report,Must I pay for an appraisal on a deal that fell through if I had not even signed the loan app?,Report,I want to sell my home.  How do I place an ad with you?,Report,can I really own a house for $1075.  or $800  need home for family asap only make 20,000 a year  credit score only 618 do to prior foreclosure.,Report,My wife and I wish to purchase property with my son and his wife with the intention of 
living in same house. Should we be looking at a trust?,Report,you list my home information is wrong, who should I contact to?,Report,How do I find info about the home on this site in 67230 listed for 193000?,Report,Do you REALLY 100% ONLY have to pay say $2,500(as I seen on one home) 3Bed 2 bath for a forclosed home?? Sorry new to all this and would like to know,Report,Is it possible to find a one story, 2bdrm, 2bath, condominium near Blacksburg Transit and have a fireplace or view on a wish list?,Report,how much additional rent would you charge for a short term rental of a house.
i need a house for 4-5 months while our home is being remodeled.
Thx
Mar,Report,Can I sell my house if it has a rat problem? If so how much would it lower the price of a 99,000 house in Louisiana?,Report,Does the $100 downpayment go on line 4 of the sales contract for HUD REO?  Will the sales contract have to be resubmitted with $100 on line 4?,Report,what if info on my home is incorrect?,Report,What are the benefits to paying off a mortgage early?,Report,how do I see emails sent to me at STLHomes@barbwoodham.com?,Report,I'm looking for a broker in the New England area that can list a motel with ocean view. For more info please feel free to contact me.,Report"
http://www.homes.com/answers/page-3/,"Is a seller required to replace windows that are clouded,Report,so, my question is.  Are there any lenders who still work with with less than great credit?,Report,I am looking for a house/mobile home that allows a large dog, in the New Port Richey area,Report,i have credit problem  an i would like to purchase a home without credit check with low down payment  an i live in barnwell area is  can help,Report,how do I get my sister to  evacuate the condo we inherited in June in Florida?,Report,Can a professional couple age 51 (no children) buy in a 55+ condo community?,Report,I am looking for a section 8 rental in Florida preferably Kissimmee or Orlando. Will  consider surrounding areas.,Report,I am looking for a Section 8 rental in Kissimmee Florida and/or surrounding areas,Report,I'm looking for a rental westside Pensacola 1-2 bdrm looking for rent between 300.00 to 550.00,Report,The information about my home is not correct. I claimed the home as mine but it won't let me edit.,Report,I am not american and wan to buy a property as an investment. Can I rent my property out legally as a non US resident?,Report,Is the Condo 15348 Pond Woods Drive for sale in Tampa Florida, 33618,Report,No experience whatsoever with buying a house. How does it work to buy a foreclosed house?,Report,How do I find the homes with the A+ school ratings or in the A's?,Report,How to face building objection on a slope land?,Report,to buy a house on foreclosure from a bank, can you finance or do you have to have cash?,Report,Can I list my home for sale,Report,ARE YOUR BUYERS AND RENTERS AWARE OF ALL THE CONVICTED SEX OFFENDERS LOCATED AT 
PARKWAY LANE CONDOS
4748 OLD BENT TREE LANE
DALLAS, TX 75287,Report,Hello, I'm looking to Invest (buy and rent) properties in New Jersey. Does anyone have a suggestion on town or city? Currently looking at Bloomfield.,Report,Buying a house with middle of the road income,Report"
http://www.homes.com/answers/page-820/,"yes i just looked at a house on signal street, trying to find out if it's a rental or for sale.,Report,Is 234 N.Natchez Drive Madison, MS still available?,Report,Is the price negotiable if the house is in foreclosure and listed by the bank?,Report,Where are the lowest HOA MONTHLY
fees for condos in GA?,Report,how much does this website cost,Report,Can you tell me more about the home at 136 Briar Lane? I'm interested in how much land and the sq. footage of the home?,Report,I'm looking for a pretty friendly rental home or company in the Raleigh Durham area. I have three dogs and one is a service animal.,Report,Im looking to rent an apartment. what type of credit do i need to have?,Report,My buyer client wants to buy a REPO in Oceanside, CA in the $400-$500,000 range.  I want to refer him t0 a Realtor experienced in REPOs,Report,Is a listed price for a house in foreclosure, owned or listed by a bank, negotiable?,Report,hello my name is jammy rankin Iam interested in buying a home under $5000.00
in the state of florida or altanta GA. 2bedroom 1bathroom no mortgage,Report,are any of the apartments for rent disabled friendly please?,Report,you guys didnt answer my question. I see homes listed for sale in Puerto Rico on Homes.com. How can I have my home listed as well on homes.com.,Report,can you send me all available rentals (Homes and apts) in this school district?  Thanks!,Report,This home recently sold.  What was the selling price?,Report,Homes.com says ,Report,i am relocating from tennessee. have good job there. my credit is not good, and i have no real savings. any chance of getting into a house?,Report,After downloading the app to my phone, I found a home for rent and saved it in.  However, when I click on the home in my saved file it does not load.,Report,I would like a detailed street map of Malibu Calif.,Report,I want to get a showing of a house in isanti, mn. Can anyone help me?,Report"
http://www.homes.com/answers/page-819/,"looking for SMALL single family house in troy - albany area ,Report,Can I be approved if I am 2 years post bankruptcy, my annual income is 26000 and my credit score is 617? Is an RD Loan an option for me? Thanks!,Report,33 greenwich way #33,milford,ct is still on sale?,Report,we have 2 middle-school daughters.  Is there a parent out there whose girls attend this school?  what is your opinion about it? 
Thanks!,Report,I am looking to move to Milwaulkee,but I am looking for a suburb area with a mixed culture and good schools.What areas are great areas?,Report,I just wanted to know if this property was still for sale and if it is what is the asking price?,Report,What have been the high and low per square feet selling price in Waters edge over the last 4 months?,Report,I am selling my house myself, can I list it here?,Report,I am looking for a house 1600 ft to 1800 ft 3 bedroom 2 1/2 bath, first floor laundy family room finshed basment Ranch only in a caud de sac, faser wa,Report,trying to find out what bank has the forclosured house that im looking at,Report,My fiancée and I are looking for a place to rent near Winchester/martinsburg. I work in Winchester and he in martinsburg. We are looking for a place t,Report,can  you end me the addrress  or you can call me 708 415 0627 my name is trang,Report,I'm having a Real Estate Auction on my house and land. Can it be advertised on here?,Report,I would like to relocate to Pennsylvania.  More so the Monroe County or Northampton County. Interested in 5 Bedroom House for rent Section 8.,Report,can u rent to buy?,Report,Trying to locate a person who lived in this property several years ago, can you help? His name is Mike Foster. More info norman@mosmail.co.uk,Report,I'm brazilian and know nothing about renting a home in USA. Do you have links explaining all obligations for each part?,Report,would i find a home with a pool,Report,MLS ID # 214178 My husband & I, Mark & Lisa Schoenberg own this home. Betty LaBoska used to be our agent, but the contract has been cancelled.,Report,can i get aloan with a credit score of 525,Report"
http://www.homes.com/answers/page-818/,"how do bid on the forclosed house #54518829?,Report,I have a really good credit score and i'm planning to buy a house but for last 6 months i didn't work but right now i have a decent job.Is it possible,Report,I want to buy a foreclosure house. how long it take to move in.,Report,hello my name is Doyle from Spring ,TX ,,, I'AM Looking to get into a rent to own or purchace a home ,, i have file bankruptcy about 2 years now,Report,how many neighbors will we have?,Report,How do I go about viewing a foreclosed property in Park hills Missouri?,Report,4.34 ACRES in Shady Meadows subdivision.  Is there an HOA or deed restrictions and if so what are the cost of HOA and/or what are the deed restrictio,Report,Some of the forclosed houses have extremely low prices, are auctions?  How do you buy?,Report,I was intrested in some rental homes around 1200 or less. I need to move in by the end of this month. please call me 832-552-5604 my name is carla,Report,do my husband and i apply for a hud loan?,Report,I am wondering as to what kind to subscirption I am signed up for,Report,Why is my home at 6500 Silversteen Road not showing up under homes for sale?  It is in Multiple Listings by Firm 3152 Agt 579502739, RA521231A?,Report,I am corporate relocation buyer - wanting to relocate to York PA.  Credit score 800+, pre qualified. Homes should be avail. but are not listed-help?,Report,How's the traffic going from the Temple Hills area down to Fort Belvoir?,Report,We are looking for at least 1 acre of land to put our mobile home on. And that it has water and sewer line hook up and maybe tv cable .,Report,Is there a monthly fee for outdoor care as well?,Report,Your estimated value on my house (3824 Grand Key Drive, Orange Beach, AL.) is so f--ked up.   Where did you get these from? You make no sense!,Report,I am trying to claim my home to change/edit information.
Not sure why I unable to.
Please help me.,Report,hi i am looking for a 5+ or 6 bedroom house that the owner is willing to accept section 8 need asap. in the lawrenceville or snellville ga area.,Report,ARE PET ALLOWED IF SO WHAT ARE THE LIMITATIONS,Report"
